Name,style,Exterior color,interior color,Engine,drive type,Fuel Type,Transmission,Mileage,mpg city,mpg highway,price,Year,Engine V,Brand
Sentra,Sedan,Fresh Powder,Charcoal,Inline-4 Gas,FWD,Gas,Automatic,24115,29,37,19999,2019,1.8,Nissan
Silverado,Pickup Truck,Summit White,Jet Black,V-8 Gas,RWD,Gas,Automatic,25992,18,24,35158,2018,5.3,Chevrolet
F-150,Pickup Truck,Magnetic Metallic,Black,V-8 Gas Turbocharged,4WD,Gas,Automatic,97722,19,24,33000,2018,5.0,Ford
Wrangler,SUV,Granite Crystal Metallic Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,89579,16,21,28599,2017,3.6,Jeep
Grand Cherokee,SUV,Billet Silver Metallic Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,61613,18,25,29998,2018,3.6,Jeep
Passat,Sedan,Black Uni,Titan Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,86636,24,36,13999,2015,1.8,Volkswagen
F-150,Pickup Truck,Red,Medium Earth Gray,V-8 Gas,4WD,Gas,Automatic,49102,18,23,40888,2020,5.0,Ford
Explorer,SUV,Tuxedo Black Metallic,Medium Light Stone,V-6 Gas,FWD,Gas,Automatic,91312,17,24,13975,2014,3.5,Ford
Odyssey,Minivan,Crystal Black Pearl,Gray,V-6 Gas,FWD,Gas,Automatic,99431,18,27,15250,2012,3.5,Honda
Civic,Sedan,Crystal Black Pearl,Black,Inline-4 Gas,FWD,Gas,Automatic,27436,30,38,19953,2019,2.0,Honda
Cherokee,SUV,Bright White Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,36410,19,27,28900,2019,3.2,Jeep
Cherokee,SUV,Diamond Black Crystal Pearlcoat,Black,Inline-4 Gas,4WD,Gas,Automatic,15178,21,29,28995,2019,2.4,Jeep
Camaro,Coupe,Summit White,Jet Black,V-6 Gas Turbocharged,RWD,Gas,Automatic,57392,22,31,20000,2017,3.6,Chevrolet
F-150,Pickup Truck,White,Gray,V-8 Gas,RWD,Gas,Automatic,264787,14,19,7295,2008,4.6,Ford
Explorer,SUV,Sterling Gray Metallic,Charcoal Black,V-6 Gas,4WD,Gas,Automatic,160471,17,23,11500,2013,3.5,Ford
Forte,Sedan,Aurora Black,Gray,Inline-4 Gas,FWD,Gas,Automatic,50619,29,38,13900,2017,2.0,Kia
F-150,Pickup Truck,White,Medium Earth Gray,V-6 Gas,4WD,Gas,Automatic,123378,18,23,27500,2018,3.3,Ford
F-150,Pickup Truck,Shadow Black,Medium Light Camel,V-6 Gas Turbocharged,4WD,Gas,Automatic,27396,18,23,36498,2018,2.7,Ford
Explorer,SUV,Shadow Black,Medium Light Camel,V-6 Gas,FWD,Gas,Automatic,54822,17,24,19998,2017,3.5,Ford
Compass,SUV,Spitfire Orange Clearcoat,Ruby Red/Black,Inline-4 Gas,4WD,Gas,Automatic,55047,22,30,18900,2018,2.4,Jeep
Malibu,Sedan,Mosaic Black Metallic,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,65334,29,36,18500,2019,1.5,Chevrolet
Malibu,Sedan,Mosaic Black Metallic,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,60943,29,36,19000,2019,1.5,Chevrolet
F-150,Pickup Truck,White Platinum Metallic Tri-Coat,Black,V-6 Gas Turbocharged,4WD,Gas,Automatic,35578,19,24,47135,2018,2.7,Ford
Cherokee,SUV,Bright White Clearcoat,Black,V-4 Gas Turbocharged,4WD,Gas,Automatic,30423,19,27,27995,2019,2.0,Jeep
RAV4,SUV,Magnetic Gray Metallic,Unknown,Inline-4 Gas,FWD,Gas,Automatic,27178,23,30,20995,2018,2.5,Toyota
Malibu,Sedan,Mosaic Black Metallic,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,61695,29,36,19995,2019,1.5,Chevrolet
,Pickup Truck,Bright White Clearcoat,Black,V-8 Gas,4WD,Gas,Automatic,23174,19,24,40200,2019,5.7,Ram
Versa,Sedan,Fresh Powder,Charcoal,Inline-4 Gas,FWD,Gas,Automatic,57998,31,39,14959,2019,1.6,Nissan
Traverse,SUV,Summit White,Jet Black/Dark Galvanized,V-6 Gas,FWD,Gas,Automatic,58077,18,27,36177,2018,3.6,Chevrolet
Wrangler,SUV,Black Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,34566,18,23,45888,2019,3.6,Jeep
F-150,Pickup Truck,Oxford White,Medium Earth Gray,V-8 Gas,4WD,Gas,Automatic,226556,17,23,17993,2016,5.0,Ford
Corolla,Sedan,Classic Silver Metallic,Black,Inline-4 Gas,FWD,Gas,Automatic,39992,30,38,20655,2020,1.8,Toyota
Silverado,Pickup Truck,Silver Ice Metallic,Jet Black,Inline-4 Gas Turbocharged,4WD,Gas,Automatic,22500,19,22,38999,2020,2.7,Chevrolet
F-150,Pickup Truck,Black,Gray,V-6 Gas,4WD,Gas,Automatic,105130,18,23,30444,2019,3.3,Ford
F-150,Pickup Truck,Oxford White,Medium Earth Gray,V-6 Gas Turbocharged,4WD,Gas,Automatic,113659,17,23,26887,2017,3.5,Ford
Mercedes-Benz C-Class,Sedan,Selenite Grey Metallic,Black,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,36153,24,33,32250,2018,2.0,Mercedes
Tacoma,Pickup Truck,Barcelona Red Metallic,Black,V-6 Gas,RWD,Gas,Automatic,29773,19,24,32900,2019,3.5,Toyota
Accord,Sedan,Crystal Black Pearl,Unknown,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,25894,29,35,27999,2020,1.5,Honda
Fusion,Sedan,Ingot Silver Metallic,Medium Light Stone,Inline-4 Gas,FWD,Gas,Automatic,47238,21,32,17776,2018,2.5,Ford
Civic,Sedan,Spectrum White Pearl,Blue,Inline-4 Hybrid,FWD,Hybrid,Automatic,41000,40,45,11995,2010,1.3,Honda
,Pickup Truck,Bright White Clearcoat,Diesel Gray/Black,V-6 Gas,4WD,Gas,Automatic,125817,16,23,22500,2015,3.6,Ram
F-150,Pickup Truck,Black Velvet,Black Cloth,V-6 Gas Turbocharged,4WD,Gas,Automatic,80827,18,23,33850,2018,2.7,Ford
Silverado,Pickup Truck,Tungsten Metallic,Jet Black,V-8 Gas,4WD,Gas,Automatic,116944,17,22,24791,2015,5.3,Chevrolet
Focus,Sedan,Oxford White,Charcoal Black,Inline-4 Gas,FWD,Gas,Automatic,82306,26,36,8999,2015,2.0,Ford
F-150,Pickup Truck,Oxford White,Black,V-6 Gas Turbocharged,4WD,Gas,Automatic,15013,18,23,50927,2020,2.7,Ford
Corolla,Sedan,Super White,Black,Inline-4 Gas,FWD,Gas,Automatic,56892,28,36,18299,2018,1.8,Toyota
Explorer,SUV,Shadow Black,Medium Stone/Med Lt Stone,V-6 Gas,4WD,Gas,Automatic,113118,16,22,22996,2018,3.5,Ford
F-150,Pickup Truck,Tuxedo Black Metallic,Medium Earth Gray,V-8 Gas,4WD,Gas,Automatic,51691,15,21,28677,2015,5.0,Ford
Dart,Sedan,Granite Crystal Metallic Clearcoat,Black,Inline-4 Gas,FWD,Gas,Automatic,80503,22,35,9495,2015,2.4,Dodge
Silverado,Pickup Truck,Imperial Blue Metallic,Ebony,V-8 Gas,4WD,Gas,Automatic,212235,13,18,10995,2012,5.3,Chevrolet
Escape,SUV,Lightning Blue Metallic,Charcoal Black,Inline-4 Gas Turbocharged,4WD,Gas,Automatic,80026,22,28,17994,2018,1.5,Ford
Civic,Sedan,Black,Unknown,Inline-4 Gas Turbocharged,FWD,Gas,Manual,34690,28,38,27995,2018,1.5,Honda
Grand Cherokee,SUV,Bright White Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,47684,18,25,33490,2018,3.6,Jeep
Thunderbird,Convertible,Black,Black,V-8 Gas,RWD,Gas,Automatic,8331,17,23,24995,2002,3.9,Ford
F-150,Pickup Truck,Oxford White,Black,V-8 Gas,4WD,Gas,Automatic,133906,14,19,20000,2014,5.0,Ford
Journey,SUV,Billet Clearcoat,Black,Inline-4 Gas,FWD,Gas,Automatic,100631,19,25,11675,2017,2.4,Dodge
F-150,Pickup Truck,Shadow Black,Dark Marsala,V-6 Gas Turbocharged,4WD,Gas,Automatic,44052,16,22,45995,2018,3.5,Ford
F-150,Pickup Truck,Abyss Gray Metallic,Black,V-6 Gas,RWD,Gas,Automatic,37663,19,25,34500,2019,3.3,Ford
C-HR,SUV,White,Black,Inline-4 Gas,FWD,Gas,Automatic,88706,27,31,19999,2018,2.0,Toyota
,Pickup Truck,Bright White Clearcoat,Diesel Gray/Black,V-6 Gas,4WD,Gas,Automatic,151970,16,23,16975,2017,3.6,Ram
Fusion,Sedan,Ingot Silver,Charcoal Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,114717,22,34,7699,2013,1.6,Ford
Optima,Sedan,Ebony Black,Black,Inline-4 Gas,FWD,Gas,Automatic,127010,23,34,11995,2015,2.4,Kia
F-150,Pickup Truck,Shadow Black,Navy Pier,V-6 Gas Turbocharged,4WD,Gas,Automatic,46265,17,23,41900,2018,3.5,Ford
Expedition,SUV,Magnetic,Ebony,V-6 Gas Turbocharged,RWD,Gas,Automatic,154379,15,21,18205,2017,3.5,Ford
Altima,Sedan,Brilliant Silver Metallic,Charcoal,Inline-4 Gas,FWD,Gas,Automatic,66018,28,39,19650,2020,2.5,Nissan
Explorer,SUV,White Platinum Metallic Tri-Coat,Medium Light Stone,V-6 Gas,FWD,Gas,Automatic,87345,17,24,20483,2015,3.5,Ford
Jetta,Sedan,White Silver Metallic,Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,14241,30,40,20482,2019,1.4,Volkswagen
Impala,Sedan,Nightfall Gray Metallic,Jet Black,V-6 Gas,FWD,Gas,Automatic,49158,19,28,24900,2019,3.6,Chevrolet
Ranger,Pickup Truck,Oxford White,Ebony,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,20529,21,26,30000,2019,2.3,Ford
Fusion,Sedan,Magnetic Metallic,Medium Light Stone,Inline-4 Gas,FWD,Gas,Automatic,56271,21,32,18395,2018,2.5,Ford
F-150,Pickup Truck,Black,Black,V-8 Gas,4WD,Gas,Automatic,52651,18,23,34998,2018,5.0,Ford
Equinox,SUV,Cajun Red Tintcoat,Jet Black,Inline-4 Gas Turbocharged,AWD,Gas,Automatic,32410,25,30,25536,2019,1.5,Chevrolet
xB,Wagon,Black Cherry,Black,Inline-4 Gas,FWD,Gas,Automatic,141562,22,28,5995,2008,2.4,Scion
F-150,Pickup Truck,Magnetic Metallic,Black,V-6 Gas Turbocharged,4WD,Gas,Automatic,50946,18,23,40900,2019,3.5,Ford
,Pickup Truck,Bright White Clear Coat/Black Clear Coat,Gray,V-6 Gas,4WD,Gas,Automatic,111921,16,23,21499,2014,3.6,Ram
Silverado,Pickup Truck,Red Hot,Jet Black,Inline-4 Gas Turbocharged,4WD,Gas,Automatic,21605,19,22,42981,2020,2.7,Chevrolet
RX,SUV,Black,Tan,V-6 Gas,AWD,Gas,Automatic,37995,19,26,45710,2019,3.5,Lexus
Mustang,Coupe,Shadow Black,Ebony,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,23208,21,31,27378,2019,2.3,Ford
Jetta,Sedan,Gray,Gray,Inline-4 Gas,FWD,Gas,Automatic,98286,24,29,5950,2012,2.0,Volkswagen
Civic,Sedan,Gray,Tan,Inline-4 Gas,FWD,Gas,Automatic,100095,30,39,12995,2015,1.8,Honda
F-150,Pickup Truck,Gray,Gray Cloth,V-8 Gas,4WD,Gas,Automatic,53267,17,23,33488,2017,5.0,Ford
Corolla,Sedan,Gray,Select,Inline-4 Gas,FWD,Gas,Automatic,130382,29,38,10985,2016,1.8,Toyota
Police Interceptor,Sedan,White,Black,V-8 Gas,RWD,Gas,Automatic,168734,16,24,3999,2010,4.6,Ford
Silverado,Pickup Truck,Summit White,Jet Black/Dark Ash,V-6 Gas,RWD,Gas,Automatic,99209,18,24,13990,2014,4.3,Chevrolet
Wrangler,SUV,Black Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,33035,16,21,32600,2016,3.6,Jeep
Explorer,SUV,White Platinum Metallic Tri-Coat,Ebony Black,V-6 Gas,4WD,Gas,Automatic,33922,16,22,30746,2018,3.5,Ford
F-150,Pickup Truck,Agate Black,Medium Earth Gray,V-8 Gas,4WD,Gas,Automatic,78300,18,23,33977,2019,5.0,Ford
Boxster,Convertible,Silver,Black,Flat-6 Gas,RWD,Gas,Manual,81070,19,27,12245,1997,2.5,Porsche
Versa,Sedan,Black,Other,Inline-4 Gas,FWD,Gas,Automatic,129631,26,35,7450,2017,1.6,Nissan
Rogue,SUV,Glacier White,Charcoal,Inline-4 Gas,AWD,Gas,Automatic,110983,25,32,15999,2018,2.5,Nissan
Malibu,Sedan,Shadow Gray Metallic,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,31014,29,36,22595,2019,1.5,Chevrolet
F-150,Pickup Truck,Avalanche,Black,V-8 Gas,4WD,Gas,Automatic,70446,17,23,28000,2017,5.0,Ford
Fusion,Sedan,Lightning Blue,Unknown,Inline-4 Gas,FWD,Gas,Automatic,81927,21,32,16299,2018,2.5,Ford
,Pickup Truck,Bright White Clearcoat,Diesel Gray/Black,V-8 Gas,4WD,Gas,Automatic,144284,15,21,23900,2018,5.7,Ram
Wrangler,SUV,Billet Silver Metallic Clearcoat,Unknown,V-6 Gas,4WD,Gas,Automatic,104023,16,21,26887,2015,3.6,Jeep
Silverado,Pickup Truck,Graphite Metallic,Jet Black,V-8 Gas,RWD,Gas,Automatic,118935,18,24,24995,2017,5.3,Chevrolet
Silverado,Pickup Truck,Summit White,Cocoa/Dune,V-8 Gas,4WD,Gas,Automatic,71123,16,22,37998,2018,5.3,Chevrolet
F-150,Pickup Truck,Blue Jeans Metallic,Black,V-6 Gas,4WD,Gas,Automatic,99021,16,21,16165,2013,3.7,Ford
Explorer,SUV,Shadow Black,Ebony Black W/Fire Orange,V-6 Gas,4WD,Gas,Automatic,51883,16,22,28998,2018,3.5,Ford
Sentra,Sedan,Fresh Powder,Charcoal,Inline-4 Gas,FWD,Gas,Automatic,104512,29,37,14945,2019,1.8,Nissan
F-150,Pickup Truck,Oxford White,Medium Earth Gray,V-6 Gas Turbocharged,RWD,Gas,Automatic,44982,18,25,29999,2016,2.7,Ford
Camry,Sedan,Midnight Black Metallic,Ash,Inline-4 Gas,FWD,Gas,Automatic,8559,29,41,25900,2019,2.5,Toyota
Mercedes-Benz GLC,SUV,Graphite Grey Metallic,Black,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,11635,22,29,45213,2020,2.0,Mercedes
Mercedes-Benz C-Class,Sedan,Selenite Grey Metallic,Black,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,31333,24,33,29473,2018,2.0,Mercedes
Tiguan,SUV,Dark Moss Green Metallic,Titan Black,Inline-4 Gas Turbocharged,AWD,Gas,Automatic,81561,21,29,17871,2019,2.0,Volkswagen
Civic,Sedan,White Orchid Pearl,Black,Inline-4 Gas,FWD,Gas,Automatic,13626,31,40,22888,2018,2.0,Honda
,Pickup Truck,Bright White Clearcoat,Diesel Gray/Black,V-8 Gas,RWD,Gas,Automatic,189356,17,25,9299,2015,5.7,Ram
TL,Sedan,Gray,Gray,V-6 Gas,FWD,Gas,Automatic,118325,20,29,7995,2006,3.2,Acura
F-150,Pickup Truck,Gray,Gray,V-8 Gas,4WD,Gas,Automatic,9156,14,19,24999,2014,5.0,Ford
Ranger,Pickup Truck,Oxford White,Ebony,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,11914,21,26,32937,2019,2.3,Ford
Camry,Sedan,Midnight Black Metallic,Unknown,Inline-4 Gas,FWD,Gas,Automatic,42823,28,39,22999,2019,2.5,Toyota
X3,SUV,Jet Black,Black,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,18216,23,30,35500,2019,2.0,BMW
Mercedes-Benz E-Class,Sedan,Black,Black,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,30064,22,30,38495,2018,2.0,Mercedes
Corolla,Sedan,Blue,Black,Inline-4 Gas,FWD,Gas,Automatic,63294,28,35,16599,2018,1.8,Toyota
Accord,Sedan,San Marino Red,Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,59900,29,35,17990,2018,1.5,Honda
F-150,Pickup Truck,Unknown,Unknown,V-6 Gas,RWD,Gas,Automatic,30651,17,23,21950,2014,3.7,Ford
F-150,Pickup Truck,Magnetic Metallic,Medium Earth Gray,V-6 Gas Turbocharged,RWD,Gas,Automatic,45408,20,25,33495,2018,3.5,Ford
F-150,Pickup Truck,Black Velvet,Black,V-6 Gas Turbocharged,4WD,Gas,Automatic,21100,18,23,43300,2018,3.5,Ford
Silverado,Pickup Truck,Summit White,Jet Black,V-8 Gas,RWD,Gas,Automatic,100869,18,24,21995,2014,5.3,Chevrolet
F-150,Pickup Truck,Black,Black,V-6 Gas Turbocharged,4WD,Gas,Automatic,30210,16,22,51880,2018,3.5,Ford
Accord,Sedan,Platinum White Pearl,Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,34772,29,35,29998,2018,1.5,Honda
Fusion,Sedan,Tuxedo Black,Charcoal Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,134561,22,34,9998,2015,1.5,Ford
Jetta,Sedan,White,Black,Inline-5 Gas,FWD,Gas,Automatic,149672,24,31,6488,2013,2.5,Volkswagen
F-150,Pickup Truck,Race Red,Medium Earth Gray,V-8 Gas,4WD,Gas,Automatic,31461,18,23,40995,2019,5.0,Ford
Silverado,Pickup Truck,Summit White,Jet Black,V-8 Gas,RWD,Gas,Automatic,27723,16,21,25274,2020,5.3,Chevrolet
Wrangler,SUV,Bright White Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,71046,17,23,31999,2018,3.6,Jeep
Corolla,Sedan,Super White,Unknown,Inline-4 Gas,FWD,Gas,Automatic,33087,28,36,19977,2019,1.8,Toyota
Camry,Sedan,Super White,Ash,Inline-4 Gas,FWD,Gas,Automatic,26864,29,41,25988,2019,2.5,Toyota
Focus,Sedan,Sterling Gray Metallic,Charcoal Black,Inline-4 Gas,FWD,Gas,Automatic,90542,26,36,8473,2014,2.0,Ford
F-150,Pickup Truck,Lightning Blue,Medium Earth Gray,V-6 Gas Turbocharged,4WD,Gas,Automatic,59903,18,23,30500,2018,2.7,Ford
Silverado,Pickup Truck,White,Black,V-8 Gas,4WD,Gas,Automatic,114624,17,22,22999,2014,5.3,Chevrolet
Gladiator,Pickup Truck,Black Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,22617,16,23,47986,2020,3.6,Jeep
F-150,Pickup Truck,Oxford White,Black,V-6 Gas Turbocharged,4WD,Gas,Automatic,82536,18,23,34000,2018,3.5,Ford
F-150,Pickup Truck,Oxford White,Medium Light Camel,V-6 Gas Turbocharged,4WD,Gas,Automatic,72928,19,24,38000,2019,3.5,Ford
Mercedes-Benz CLA,Sedan,Night Black,Sahara Beige/Black,Inline-4 Gas Turbocharged,AWD,Gas,Automatic,48662,24,32,27995,2018,2.0,Mercedes
Grand Cherokee,SUV,Diamond Black Crystal Pearlcoat,Black,V-6 Gas,4WD,Gas,Automatic,38939,18,25,32998,2018,3.6,Jeep
Tahoe,SUV,Silver Ice Metallic,Jet Black,V-8 Gas,RWD,Gas,Automatic,134378,16,23,25999,2015,5.3,Chevrolet
Mustang,Coupe,Iconic Silver Metallic,Unknown,Inline-4 Gas Turbocharged,RWD,Gas,Manual,43457,21,30,25997,2020,2.3,Ford
Rogue,SUV,Gun Metallic,Charcoal,Inline-4 Gas,AWD,Gas,Automatic,74993,25,32,16500,2017,2.5,Nissan
Corolla,Sedan,Super White,Black,Inline-4 Gas,FWD,Gas,Automatic,28355,28,35,21777,2019,1.8,Toyota
Mercedes-Benz S-Class,Sedan,Alabaster White,Unknown,V-8 Gas,RWD,Gas,Automatic,129255,17,24,4500,2002,4.3,Mercedes
F-150,Pickup Truck,Silver,Unknown,V-6 Gas,4WD,Gas,Automatic,47624,18,23,33988,2018,3.3,Ford
RAV4,SUV,Black Sand Pearl,Tan,Inline-4 Hybrid,AWD,Hybrid,Automatic,189800,34,30,12995,2018,2.5,Toyota
RAV4,SUV,Super White,Black,Inline-4 Gas,FWD,Gas,Automatic,21340,27,34,31998,2019,2.5,Toyota
XT5,SUV,Radiant Silver Metallic,Cirrus,V-6 Gas,FWD,Gas,Automatic,49772,19,26,28994,2018,3.6,Cadillac
,Pickup Truck,Diamond Black Crystal Pearlcoat,Black,V-6 Gas,4WD,Gas,Automatic,40722,19,24,37969,2019,3.6,Ram
Silverado,Pickup Truck,Summit White,Jet Black,V-8 Gas,4WD,Gas,Automatic,44085,14,18,41499,2019,5.3,Chevrolet
,Pickup Truck,Bright White Clearcoat,Black,V-8 Gas,RWD,Gas,Automatic,39044,20,25,38295,2019,5.7,Ram
F-150,Pickup Truck,Black,Medium Earth Gray,V-8 Gas,4WD,Gas,Automatic,92502,17,23,28512,2016,5.0,Ford
Wrangler,SUV,Black Clearcoat,Black,V-6 Gas,4WD,Gas,Manual,67575,16,21,30995,2015,3.6,Jeep
Escape,SUV,White Platinum Metallic Tri-Coat,Cashmere,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,25512,23,30,22987,2018,1.5,Ford
Mercedes-Benz CLA,Sedan,Polar White,Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,49145,24,37,26432,2019,2.0,Mercedes
Escape,SUV,Shadow Black,Charcoal Black,Inline-4 Gas Turbocharged,4WD,Gas,Automatic,68546,22,28,19590,2018,1.5,Ford
Trax,SUV,Summit White,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,46385,26,31,16996,2019,1.4,Chevrolet
Compass,SUV,Redline Pearlcoat,Ruby Red/Black,Inline-4 Gas,4WD,Gas,Automatic,106923,22,30,17991,2018,2.4,Jeep
F-150,Pickup Truck,Black,Black,V-8 Gas,4WD,Gas,Automatic,36389,18,23,36791,2018,5.0,Ford
RAV4,SUV,Super White,Black,Inline-4 Gas,FWD,Gas,Automatic,43078,23,30,23290,2018,2.5,Toyota
F-150,Pickup Truck,Ingot Silver Metallic,Steel Gray,V-6 Gas,RWD,Gas,Automatic,109520,17,23,15998,2014,3.7,Ford
Equinox,SUV,Mosaic Black Metallic,Medium Ash Gray,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,92643,26,32,14995,2018,1.5,Chevrolet
F-150,Pickup Truck,Blue,Beige,V-6 Gas Turbocharged,4WD,Gas,Automatic,151705,14,19,17900,2013,3.5,Ford
MKZ,Sedan,White Platinum Metallic Tri-Coat,Ebony,Inline-4 Gas Turbocharged,AWD,Gas,Automatic,7408,20,29,31990,2019,2.0,Lincoln
Escape,SUV,Ingot Silver Metallic,Charcoal Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,28459,23,30,22671,2018,1.5,Ford
Journey,SUV,Pitch Black Clearcoat,Black,V-4 Gas,FWD,Gas,Automatic,44559,17,25,19799,2018,2.4,Dodge
Wrangler,SUV,Black Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,11868,17,23,53000,2021,3.6,Jeep
Mercedes-Benz C-Class,Sedan,Polar White,Black,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,36142,24,33,29378,2018,2.0,Mercedes
,Pickup Truck,Diamond Black Crystal Pearlcoat,Black,V-8 Gas,RWD,Gas,Automatic,53684,20,25,31664,2019,5.7,Ram
F-150,Pickup Truck,Silver Spruce Metallic,Medium Light Camel,V-6 Gas Turbocharged,4WD,Gas,Automatic,36220,18,23,38498,2019,3.5,Ford
F-150,Pickup Truck,Agate Black,Black,V-6 Gas Turbocharged,4WD,Gas,Automatic,29988,18,23,44988,2019,2.7,Ford
F-150,Pickup Truck,Black,Medium Earth Gray,V-8 Gas,4WD,Gas,Automatic,76024,17,23,31750,2017,5.0,Ford
F-150,Pickup Truck,Oxford White,Medium Earth Gray,V-8 Gas,4WD,Gas,Automatic,117265,17,23,27998,2016,5.0,Ford
F-150,Pickup Truck,Agate Black,Medium Earth Gray,V-8 Gas,4WD,Gas,Automatic,23780,18,23,42787,2019,5.0,Ford
Sonata,Sedan,Nouveau Blue,Beige,Inline-4 Gas,FWD,Gas,Automatic,116526,25,36,9999,2017,2.4,Hyundai
4Runner,SUV,White,Black,V-6 Gas,4WD,Gas,Automatic,16702,16,19,52999,2020,4.0,Toyota
Equinox,SUV,Kinetic Blue Metallic,Jet Black,Inline-4 Gas Turbocharged,AWD,Gas,Automatic,20122,25,30,25999,2019,1.5,Chevrolet
Fusion,Sedan,Gray,Ebony,Inline-4 Gas,FWD,Gas,Automatic,67484,21,32,16990,2017,2.5,Ford
RAV4,SUV,Super White,Black,Inline-4 Gas,FWD,Gas,Automatic,48387,23,30,25591,2018,2.5,Toyota
Civic,Sedan,Rallye Red,Black,Inline-4 Gas,FWD,Gas,Automatic,6486,30,38,24988,2020,2.0,Honda
Corolla,Sedan,Classic Silver Metallic,Ash,Inline-4 Gas,FWD,Gas,Automatic,192179,26,34,5800,2013,1.8,Toyota
Ranger,Pickup Truck,Magnetic,Ebony,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,9935,21,26,32621,2019,2.3,Ford
Civic,Coupe,Platinum White Pearl,Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,31929,31,40,25499,2019,1.5,Honda
Equinox,SUV,Iridescent Pearl Tricoat,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,59690,26,32,22995,2019,1.5,Chevrolet
LS,Sedan,Eminent White Pearl,Parchment,V-6 Gas Turbocharged,RWD,Gas,Automatic,15677,19,30,71000,2020,3.5,Lexus
Sorento,SUV,Snow White Pearl,Satin Black,Inline-4 Gas,FWD,Gas,Automatic,56627,21,28,18959,2017,2.4,Kia
Highlander,SUV,Midnight Black Metallic,Black,V-6 Gas,FWD,Gas,Automatic,22948,21,27,36767,2019,3.5,Toyota
Altima,Sedan,Gun Metallic,Charcoal,Inline-4 Gas,FWD,Gas,Automatic,85187,27,38,16000,2018,2.5,Nissan
Frontier,Pickup Truck,Gun Metallic,Steel,V-6 Gas,RWD,Gas,Automatic,13579,16,22,28654,2019,4.0,Nissan
F-150,Pickup Truck,Agate Black,Black,V-6 Gas Turbocharged,4WD,Gas,Automatic,32265,18,23,40225,2019,2.7,Ford
F-150,Pickup Truck,Tuxedo Black Metallic,Red/Black,V-6 Gas Turbocharged,RWD,Gas,Automatic,174456,17,23,14990,2013,3.5,Ford
Edge,SUV,Oxford White,Ebony,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,51601,22,29,23995,2019,2.0,Ford
Edge,SUV,Tuxedo Black Metallic,Charcoal Black,V-6 Gas,AWD,Gas,Automatic,140802,18,25,8999,2013,3.5,Ford
Highlander,SUV,Midnight Black Metallic,Black,V-6 Gas,AWD,Gas,Automatic,28286,20,26,36492,2019,3.5,Toyota
F-150,Pickup Truck,White,White,V-6 Gas Turbocharged,4WD,Gas,Automatic,67568,17,23,28998,2015,2.7,Ford
F-150,Pickup Truck,Oxford White,Steel Gray,V-6 Gas Turbocharged,RWD,Gas,Automatic,140381,17,23,17995,2013,3.5,Ford
Highlander,SUV,Celestial Silver Metallic,Ash,V-6 Gas,AWD,Gas,Automatic,57200,20,26,31995,2018,3.5,Toyota
Rogue,SUV,Scarlet Ember Tintcoat,Charcoal,Inline-4 Gas,FWD,Gas,Automatic,6020,26,34,30994,2021,2.5,Nissan
Equinox,SUV,Nightfall Gray Metallic,Medium Ash Gray,Inline-4 Gas Turbocharged,AWD,Gas,Automatic,51839,25,30,19221,2019,1.5,Chevrolet
Sorento,SUV,Snow White Pearl,Black,V-6 Gas,FWD,Gas,Automatic,51970,19,26,21580,2020,3.3,Kia
