Name,style,Exterior color,interior color,Engine,drive type,Fuel Type,Transmission,Mileage,mpg city,mpg highway,price,Year,Engine V,Brand
Edge,SUV,Oxford White,Ebony,Inline-4 Gas Turbocharged,AWD,Gas,Automatic,95132,20,27,19995,2018,2.0,Ford
Soul,Hatchback,Shadow Black,Black,Inline-4 Gas,FWD,Gas,Automatic,131118,24,30,8673,2016,1.6,Kia
Accord,Sedan,San Marino Red,Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,115385,29,35,19920,2019,1.5,Honda
Accord,Sedan,Lunar Silver Metallic,Gray,Inline-4 Gas,FWD,Gas,Automatic,220045,27,36,11996,2017,2.4,Honda
Tacoma,Pickup Truck,Midnight Black Metallic,Graphite,V-6 Gas,4WD,Gas,Automatic,46209,18,22,39500,2019,3.5,Toyota
Malibu,Sedan,Summit White,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,52949,29,36,18000,2019,1.5,Chevrolet
Malibu,Sedan,Silver Ice Metallic,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,54838,29,36,17199,2019,1.5,Chevrolet
Cherokee,SUV,Granite Crystal Metallic Clearcoat,Black,V-4 Gas Turbocharged,4WD,Gas,Automatic,19027,19,27,29333,2019,2.0,Jeep
Sentra,Sedan,Super Black,Charcoal,Inline-4 Gas,FWD,Gas,Automatic,40583,27,35,17920,2019,1.8,Nissan
Corolla,Sedan,Classic Silver Metallic,Light Gray,Inline-4 Gas,FWD,Gas,Automatic,56506,30,38,17650,2020,1.8,Toyota
F-150,Pickup Truck,Black,Dark Earth Gray,V-8 Gas,4WD,Gas,Automatic,40860,18,23,33527,2018,5.0,Ford
F-150,Pickup Truck,Oxford White,Medium Earth Gray,V-6 Gas Turbocharged,4WD,Gas,Automatic,91031,18,23,32000,2019,3.5,Ford
Malibu,Sedan,Summit White,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,81973,29,36,17715,2019,1.5,Chevrolet
Wrangler,SUV,Black Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,48290,18,23,43366,2019,3.6,Jeep
Civic,Sedan,Platinum White Pearl,Black,Inline-4 Gas,FWD,Gas,Automatic,43288,30,38,19890,2019,2.0,Honda
